!SIL	SIL
<SPOKEN_NOISE>	SPN
<UNK>	SIL
/어	f11 m4
10도입니다	f3 m8 f11 m20 e16 f2 m20 f3 m0
10월	f11 m14 e7
2412원이에요	f11 m14 e3 f11 m20 f11 m5 f11 m12
2도입니다	f3 m8 f11 m20 e16 f2 m20 f3 m0
2시	f9 m20
3억미만	f11 m4 e0 f6 m20 f6 m0 e3
9도에요	f3 m8 f11 m5 f11 m12
`멈추지	f6 m4 e15 f14 m13 f12 m20
가	f0 m0
가거든	f0 m0 f0 m4 f3 m18 e3
가거라	f0 m0 f0 m4 f5 m0
가게	f0 m0 f0 m5
가게됐어	f0 m0 f0 m5 f3 m10 e19 f11 m4
가게되었어	f0 m0 f0 m5 f3 m11 f11 m4 e19 f11 m4
가게부	f0 m0 f0 m5 f7 m13
가겠네	f0 m0 f0 m5 e19 f2 m5
가겠는데	f0 m0 f0 m5 e19 f2 m18 e3 f3 m5
가겠니	f0 m0 f0 m5 e19 f2 m20
가겠다고	f0 m0 f0 m5 e19 f3 m0 f0 m8
가겠습니다	f0 m0 f0 m5 e19 f9 m18 e16 f2 m20 f3 m0
가겠습니다라고	f0 m0 f0 m5 e19 f9 m18 e16 f2 m20 f3 m0 f5 m0 f0 m8
가겠습니다로	f0 m0 f0 m5 e19 f9 m18 e16 f2 m20 f3 m0 f5 m8
가겠어	f0 m0 f0 m5 e19 f11 m4
가겨은	f0 m0 f0 m6 f11 m18 e3
가격	f0 m0 f0 m6 e0
가격도	f0 m0 f0 m6 e0 f3 m8
가격동향	f0 m0 f0 m6 e0 f3 m8 e20 f18 m2 e20
가격동향에	f0 m0 f0 m6 e0 f3 m8 e20 f18 m2 e20 f11 m5
가격동향은	f0 m0 f0 m6 e0 f3 m8 e20 f18 m2 e20 f11 m18 e3
가격동향을	f0 m0 f0 m6 e0 f3 m8 e20 f18 m2 e20 f11 m18 e7
가격동향이	f0 m0 f0 m6 e0 f3 m8 e20 f18 m2 e20 f11 m20
가격동향입니다	f0 m0 f0 m6 e0 f3 m8 e20 f18 m2 e20 f11 m20 e16 f2 m20 f3 m0
가격비교	f0 m0 f0 m6 e0 f7 m20 f0 m12
가격에	f0 m0 f0 m6 e0 f11 m5
가격에따라	f0 m0 f0 m6 e0 f11 m5 f4 m0 f5 m0
가격으로	f0 m0 f0 m6 e0 f11 m18 f5 m8
가격은	f0 m0 f0 m6 e0 f11 m18 e3
가격을	f0 m0 f0 m6 e0 f11 m18 e7
가격의	f0 m0 f0 m6 e0 f11 m19
가격이	f0 m0 f0 m6 e0 f11 m20
가격입니다	f0 m0 f0 m6 e0 f11 m20 e16 f2 m20 f3 m0
가격지표에요	f0 m0 f0 m6 e0 f12 m20 f17 m12 f11 m5 f11 m12
가격지표입니다	f0 m0 f0 m6 e0 f12 m20 f17 m12 f11 m20 e16 f2 m20 f3 m0
가격차는	f0 m0 f0 m6 e0 f14 m0 f2 m18 e3
가격차이	f0 m0 f0 m6 e0 f14 m0 f11 m20
가격차이가	f0 m0 f0 m6 e0 f14 m0 f11 m20 f0 m0
가격표는	f0 m0 f0 m6 e0 f17 m12 f2 m18 e3
가격하락	f0 m0 f0 m6 e0 f18 m0 f5 m0 e0
가경	f0 m0 f0 m6 e20
가계부	f0 m0 f0 m7 f7 m13
가계부를	f0 m0 f0 m7 f7 m13 f5 m18 e7
가계부에	f0 m0 f0 m7 f7 m13 f11 m5
가고	f0 m0 f0 m8
가고싶거든	f0 m0 f0 m8 f9 m20 e25 f0 m4 f3 m18 e3
가고싶다	f0 m0 f0 m8 f9 m20 e25 f3 m0
가고싶데요	f0 m0 f0 m8 f9 m20 e25 f3 m5 f11 m12
가고싶어	f0 m0 f0 m8 f9 m20 e25 f11 m4
가고싶은데	f0 m0 f0 m8 f9 m20 e25 f11 m18 e3 f3 m5
가고을	f0 m0 f0 m8 f11 m18 e7
가곡	f0 m0 f0 m8 e0
가곡말고	f0 m0 f0 m8 e0 f6 m0 e7 f0 m8
가곡으로	f0 m0 f0 m8 e0 f11 m18 f5 m8
가곡을	f0 m0 f0 m8 e0 f11 m18 e7
가곡이	f0 m0 f0 m8 e0 f11 m20
가곡있는데	f0 m0 f0 m8 e0 f11 m20 e19 f2 m18 e3 f3 m5
가공할	f0 m0 f0 m8 e20 f18 m0 e7
가구	f0 m0 f0 m13
가구의	f0 m0 f0 m13 f11 m19
가급적이면	f0 m0 f0 m18 e16 f12 m4 e0 f11 m20 f6 m6 e3
가기	f0 m0 f0 m20
가기가	f0 m0 f0 m20 f0 m0
가기는	f0 m0 f0 m20 f2 m18 e3
가기라고	f0 m0 f0 m20 f5 m0 f0 m8
가기로	f0 m0 f0 m20 f5 m8
가기를	f0 m0 f0 m20 f5 m18 e7
가기에	f0 m0 f0 m20 f11 m5
가기에요	f0 m0 f0 m20 f11 m5 f11 m12
가기였어요	f0 m0 f0 m20 f11 m6 e19 f11 m4 f11 m12
가기와	f0 m0 f0 m20 f11 m9
가기입니다	f0 m0 f0 m20 f11 m20 e16 f2 m20 f3 m0
가까운	f0 m0 f1 m0 f11 m13 e3
가까운데	f0 m0 f1 m0 f11 m13 e3 f3 m5
